Route 51 (Madla Transit Center to downtown),,,
Stop Name,Stop Number,Lat,Lng
Madla Transit Center,11397,29.34977691,-98.53189719
I-35 Nb Access Rd. at Grosvenor,58226,29.35423484,-98.52746845
I35 Sb Acc. Rd. at 2nd Ent. SP Mall,58227,29.35379146,-98.52913052
Ih 35 S Access & Zarzamora,73429,29.35033071,-98.53573692
Ih 35 S Access & Yarrow Blvd,73439,29.34824963,-98.54070474
Navajo St & Ih35 S Access,74136,29.34751976,-98.54432334
Barlite & Cascade Pkwy,53986,29.34990949,-98.54651517
Barlite Opp. Bobcat Lane (Sioux),53946,29.35223144,-98.54652297
Barlite / Ent. Dr. To SW Gen. Hosp.,53756,29.35377175,-98.54651385
Barlite Opposite Briggs,53456,29.35517301,-98.54635176
Barlite & S.W. Military Dr.,53156,29.35676152,-98.5461665
Kendalia & Somerset,43376,29.36025798,-98.54638157
Somerset & Mayfield,43816,29.36188472,-98.545206
Somerset & Pyron,34726,29.36309254,-98.54416274
Somerset & Wagner,34456,29.36475112,-98.54272278
Somerset & Vickers,34196,29.36669692,-98.54103495
Somerset & W. Southcross,25736,29.36792883,-98.5399593
Somerset & Milvid,25376,29.36971344,-98.53840634
Somerset & Brunswick,16926,29.37135778,-98.5369701
Somerset & Stonewall,16676,29.37333631,-98.53524807
Zarzamora Between Elks & Flanders,20406,29.37430102,-98.53401982
Nogalitos & Keats,17136,29.37595626,-98.5330254
Nogalitos Opposite Burgess,97746,29.3769997,-98.53203244
Nogalitos & Division,97496,29.37964978,-98.5297298
Nogalitos & Surrey,88946,29.38126315,-98.52836051
Nogalitos & Gladstone,88866,29.38220396,-98.52754464
Nogalitos & Sims,88596,29.38310418,-98.52676234
Nogalitos & Hoover,89236,29.38453381,-98.52552093
Nogalitos In Front Of 2920,79886,29.38663315,-98.52369922
Nogalitos & Theo,71516,29.38778148,-98.52269787
Nogalitos & Conception,71256,29.38955941,-98.52116119
Nogalitos & Recio,61896,29.39115707,-98.51977527
Nogalitos & Saldana,62626,29.39202455,-98.51902298
Nogalitos & Ripford,62446,29.39326386,-98.51793743
Nogalitos & Big Foot,62196,29.39507274,-98.51636858
Nogalitos & Maury,53646,29.3975814,-98.51414747
Nogalitos In Front Of 1400,53286,29.3997328,-98.51227127
Nogalitos & Edwards,44746,29.40138343,-98.51089181
Nogalitos & Glass,44576,29.40277166,-98.50968397
Nogalitos & Furnish,35926,29.40487082,-98.50789293
Nogalitos & Stribling (Zavalla),35866,29.40579778,-98.50640021
Nogalitos & Fest,36436,29.40799556,-98.50302443
Nogalitos & S. Flores,36296,29.40893624,-98.50153575
S. Flores & Sprr,27726,29.41061716,-98.50068871
S. Alamo Opposite Nathan,27753,29.41066608,-98.49948586
S. Alamo & Blue Star Pl.,28956,29.41020542,-98.49546031
S. Alamo & Wickes,29636,29.41149981,-98.49335057
S. Alamo Opposite E. Sheridan,29646,29.41273805,-98.49171723
S. Alamo & Cedar,29196,29.41416313,-98.49067334
S. St. Mary's & Cesar Chavez Blvd,11216,29.41807,-98.49024992
S St Marys Bet. Cesar Cha/Arciniega,99986,29.41909593,-98.49066277
S.St.Mary's & Nueva,99586,29.42099624,-98.49086152
Navarro Opposite Villita,99396,29.42256307,-98.49034828
Route 51 (downtown to Madla Transit Center),,,
Stop Name,Stop Number,Lat,Lng
Martin & Navarro,71839,29.42929674,-98.48963678
St. Mary's & Pecan,79977,29.4287383,-98.49138478
St. Mary's Between Travis & Houston,89377,29.4271836,-98.49138104
St Marys Bet. Market & Villita,99157,29.423399,-98.49187052
S. St. Mary's & King William,19397,29.41787814,-98.49035383
S. St. Mary's & Alamo,11727,29.41575415,-98.48962613
S. Alamo & Beauregard,29197,29.41419383,-98.49075423
