Route 672 (TAMUSA to Madla Transit Center),,,
Stop Name,Stop Number,Lat,Lng
Verano Pkwy & University Way,26183,29.30537893,-98.52425013
Zarzamora Opp. Hunter's Pond,26206,29.30777318,-98.53491213
S. Zarzamora Btwn Jennifer Dr & Vil,27626,29.32457245,-98.53254023
Villaret Btwn Rhoda & Cadiz,24699,29.32550908,-98.53882556
Palo Alto College,23953,29.32458751,-98.54398631
Lytle & Bruni,24486,29.32702746,-98.54117658
Lytle & Mally,24196,29.32825571,-98.54118298
Lytle & Gillette,14696,29.33004853,-98.5411827
Gillete & Rhoda,15783,29.3301243,-98.53790526
Gillete In Front Of 1134,16783,29.33013734,-98.53509585
S. Zarzamora & Hunter,96996,29.33287548,-98.53369328
S. Zarzamora & Ansley,96596,29.3354718,-98.5340118
S. Zarzamora In Front Of Garden Valley,96196,29.3375686,-98.53402619
S. Zarzamora In Front Of St. Leonards,86786,29.3401675,-98.53404038
S. Zarzamora In Front Of Bethesda,86386,29.34183313,-98.5340521
S. Zarzamora & Peterson,76786,29.34411636,-98.5340702
S. Zarzamora & Hutchins,76486,29.34532812,-98.53404322
S. Zarzamora Opposite Vestal,66986,29.34726794,-98.53406845
S. Zarzamora Opposite Cantrell,66786,29.34925315,-98.53406459
Madla Transit Center,11346,29.35024577,-98.53244206
Route 672 (Madla Transit Center to TAMUSA),,,
Stop Name,Stop Number,Lat,Lng
Madla Transit Center,11137,29.35023623,-98.53219021
I-35 Nb Access Rd. at Grosvenor,58226,29.3542376,-98.52746875
I35 Sb Acc. Rd. at 2nd Ent. SP Mall,58227,29.35379391,-98.52912573
S. Zarzamora & Cantrell,66787,29.34917511,-98.53428376
S. Zarzamora & Vestal,66987,29.34725673,-98.53424182
S. Zarzamora & Hutchins,76487,29.34592649,-98.53424304
S. Zarzamora & Peterson,76787,29.34433697,-98.53425489
S. Zarzamora In Front Of Bethesda,86387,29.3422308,-98.53424994
S. Zarzamora Opp. 8606,86878,29.33950131,-98.53424028
S. Zarzamora Opp. Ent To Garden Val,96197,29.33802102,-98.53422911
S. Zarzamora Opposite Ansley,96587,29.33610179,-98.53421975
S. Zarzamora & Hunter,96997,29.33347281,-98.53403342
S. Zarzamora & Gillette,17627,29.33042659,-98.53333131
Gillette & Rhoda,15699,29.33028489,-98.53729432
Gillette & Lytle,14689,29.33027324,-98.54042379
Lytle & Mally,24297,29.32836503,-98.54125023
Lytle Opposite Bruni,24397,29.32718871,-98.54125167
Lytle & Villaret,24697,29.32557326,-98.54125287
Palo Alto College,23953,29.32458751,-98.54398631
Villaret & Rhoda,25693,29.32544187,-98.53780772
S. Zarzamora & Villaret,27637,29.32504512,-98.53274939
Zarzamora & Hunter's Pond,26207,29.30787731,-98.5350647
Verano Pkwy & University Way,26183,29.30537893,-98.52425013
