Route 93 (The Rim to Centro Plaza),,,
Stop Name,Stop Number,Lat,Lng
La Cantera at Hobby Lobby,75379,29.6111118680462,-98.5951684057002
La Cantera & Vance Jackson,75359,29.6081417626945,-98.5976326049695
La Cantera & Rim Drive,75369,29.6067129656901,-98.5997924702464
La Cantera & Fiesta Texas Dr.,75229,29.6046563063584,-98.6037036738700
La Cantera Pkwy & La Cantera Terrace,75219,29.6057638896647,-98.6099504390848
La Cantera In Front Of 16211,72279,29.6044498023930,-98.6146613752924
La Cantera In Front Of 16641,72427,29.6021750124950,-98.6153965233805
La Cantera & Cantera Vista,99377,29.5975235911965,-98.6166723985115
La Cantera Opp. Entr/Shops La Cant.,11667,29.5948498520372,-98.6189954353469
La Cantera & Loop 1604 W Access R,11517,29.5893455884849,-98.6198113900290
Utsa Loop 1604 Campus,11907,29.5864115070282,-98.6185077659543
Loop 1604 E Acces Rd & Valero Way,14423,29.5894672869877,-98.6075107284891
University Park & Ride,17116,29.5908014639659,-98.5979995527233
Crossroads Park & Ride,32167,29.4938455674208,-98.5482826429783
Laredo & Medina,86577,29.4322988568676,-98.5017756453620
Martin & Leona,76779,29.4300155068158,-98.5019839731467
Centro Plaza - Mid Block East,60017,29.4274087604366,-98.5037954587798
Route 93 (Commerce & Presa to The Rim),,,
Stop Name,Stop Number,Lat,Lng
Commerce & Presa,91139,29.4240258277816,-98.4888870887900
Commerce & Navarro,81929,29.4241877941060,-98.4897013874130
Commerce & St. Mary's,89869,29.4244973304154,-98.4911246255969
Commerce & Main,54339,29.4250728002954,-98.4936298756008
Commerce & Flores,88779,29.4252160822284,-98.4950509654365
Commerce & Santa Rosa,87799,29.4253080262719,-98.4977878443920
Commerce & San Saba,87639,29.4257250865573,-98.4999919520960
Pecos-La Trinidad & Buena Vista,86877,29.4238626445867,-98.5018696628644
S. Frio In Front Of Utsa Downtown C,86926,29.4233642034236,-98.5040816257292
Centro Plaza - SW Corner,60029,29.4270765192744,-98.5048155841294
Martin Opposite Leona,76773,29.4298300853023,-98.5023247247252
Crossroads Park & Ride,32166,29.4935290498701,-98.5489138999051
University Park & Ride,17116,29.5908014639659,-98.5979995527233
Loop 1604 W Access/Entr. La Cantera,22479,29.5897598519977,-98.6123818109454
Utsa Loop 1604 Campus,11907,29.5864115070282,-98.6185077659543
John Peace & Loop 1604 E Access R,11636,29.5885598991142,-98.6194670364804
La Cantera Entran. Shops La Cantera,11666,29.5954112898299,-98.6182145935612
La Cantera Opposite 16505,99376,29.5974133086044,-98.6164999427394
La Cantera Opp Lacantera-Westin Res,72426,29.6021722655674,-98.6152152063942
La Cantera Opposite 16211,72293,29.6047770307846,-98.6140376194277
La Cantera Pkwy Opposite La Cantera Terrace,75313,29.6055840602114,-98.6097869472823
Fiesta Texas Opp Entr. To Employee,83469,29.6005726029472,-98.6059802730002
Fiesta Texas Main Entrance,82459,29.5988802357811,-98.6073076245993
Fiesta Texas Employee Entrance,83463,29.6004943967487,-98.6059733172680
La Cantera & Fiesta Texas Dr.,75323,29.6043277802350,-98.6038312819841
Worth Pkwy at Side Bass Pro Shops,75393,29.6128164973024,-98.6005219034038
La Cantera at Hobby Lobby,75379,29.6111118680462,-98.5951684057002
