Route 660  (Northwest Vista College to University Park & Ride),,,,,,,,
Stop Name,Stop Number,Lat,Lng,,,,,
Northwest Vista College,83439,29.4700227104889,-98.7064141145465,,,,,
Ellison Dr. & Wiseman Blvd.,84643,29.4676745723921,-98.7052417610101,,,,,
Ellison Dr. Opp. Westover Link,84733,29.4659158301811,-98.7010112750428,,,,,
Ellison Dr. & Westover Hills,16327,29.4624075269884,-98.6977606496521,,,,,
Westover Hills & Hwy. 151 W. (Ns),98863,29.462013120887,-98.6935769817983,,,,,
Westover Hills & Hwy. 151 W. (Fs),98843,29.463393571191,-98.6900818360229,,,,,
Rogers & Hyatt Resort Dr,98597,29.4595799778259,-98.6854850065589,,,,,
Rogers Btwn Hyatt Resort Dr & Natio,98607,29.4573506637267,-98.6848321732108,,,,,
Nationwide Dr Btwn Rogers & Sh 151,98609,29.4555414950519,-98.6852549646405,,,,,
Hyatt Resort Dr Btwn 151 & Rogers,98603,29.4593310484584,-98.6868731683952,,,,,
Rogers & Westover Hills,98586,29.4659727988137,-98.6892006298448,,,,,
Rogers Btwen Rogers Run & Western,98556,29.4716653269476,-98.6920700579782,,,,,
Rogers at Entrance To Chase Service,98536,29.4753044197055,-98.6930933918193,,,,,
Rogers Rd. & Wiseman Blvd,98406,29.4776602957187,-98.6938049629362,,,,,
Rogers Btw Wiseman & Mt Evans,98506,29.4818858918514,-98.6999750787778,,,,,
Rogers Between Mt Evans & Mt Baker,41406,29.4851050316138,-98.7001836256569,,,,,
Rogers Rd. & Mountain View,41306,29.4903950515301,-98.7000638842071,,,,,
Culebra Opposite Heb Plus,41339,29.492482626624,-98.7003865461996,,,,,
Westwood Loop & Culebra,81116,29.4965126619506,-98.709317886952,,,,,
Westwood Loop Opposite Walmart,81143,29.49889792812,-98.7044337475655,,,,,
Oscar Wood Pl. Opp. Ceders Pl.,81179,29.5119676446219,-98.700133487349,,,,,
Oscar Wood & Bluegrass Pond,81186,29.513520791926,-98.7017007327332,,,,,
Oscar Wood & Expedition Crk,81196,29.5158671818195,-98.7005343880763,,,,,
Shaenfield & Leslie Rd.,81193,29.5160745191428,-98.6973032652586,,,,,
Loop 1604 N Access Rd & Bet Bowens Crossing & New Guilbeau,81236,29.5276301021258,-98.6859803061232,,,,,
Loop 1604 N Access Rd & Braun,81266,29.5367631288741,-98.6811040519937,,,,,
1604 Access & Las Palapas,77136,29.5509412120823,-98.6688283876142,,,,,
Loop 1604 N Access Rd & Bandera,77156,29.5551800125627,-98.6644168599439,,,,,
L1604n Acc Rd Front Nisd Sports Com,77166,29.5648808502259,-98.6546919256359,,,,,
L1604 N Acc Rd In Front 8202,77176,29.5730343372217,-98.6481689672802,,,,,
Loop 1604n Acc Rd & Kyle Seale,77186,29.5769665894767,-98.6444571076884,,,,,
Loop 1604 N Access Rd In Front 7502,77196,29.5840995374798,-98.6380977445634,,,,,
Babcock Opposite Green Glen,16786,29.5885341482766,-98.630526184235,,,,,
